Deposit,Lat_WGS84,Long_WGS84,State,MinSystem,DepType,CritMin,FocusArea,DepCat,Rank ,Production,Resources,Source_s,Links
El Portal mine,37.67132,-119.80292,CA,Basin brine path,Barite (replacement and bedded),barite,Sierra Nevada Foothills barite,CM-past producer,1,"Production (1910-1948): 400,000 tons barite.",Unknown.,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10109245
Elk Creek deposit,40.26796,-96.18624,NE,Magmatic REE,Carbonatite,"niobium, REE, scandium, titanium",Elk Creek carbonatite,CM resources,3,None.,"Total reserves and resources (2022): 297,100,000 @0.47% Nb, 2.21% Ti, 0.006% Sc, and 0.350% lanthanides. Probable reserve (2019): 36,313,000 metric tons @0.81% Nb2O5, 65.7 ppm Sc, and 2.86% TiO2; cutoff 0.788% Nb2O5.",Karl and others (2021b); Batty and others (2022),https://doi.org/10.5066/P9I4NFSN
Elkhorn mine,43.7469,-103.51667,SD,Porphyry Sn (granite-related),Pegmatite LCT,beryllium,Southern Black Hills pegmatites,CM-past producer,1,Production: several tons of Be and mica.,Unknown.,MRDS (2005),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055780
Emerson mine,37.64128,-115.63114,NV,Porphyry Cu-Mo-Au,S-R-V tungsten,tungsten,Southern Nevada Tungsten,CM-past producer,1,"Production (1938-1982): 500,000 stu WO3.",Unknown.,Karl and others (2020),https://doi.org/10.5066/P97NJLI4
Emily,46.75271,-93.97567,MN,Marine chemocline,Iron-manganese,manganese,Manganese (Mn) in iron-formations,CM resources,3,None.,"Total resources (2020): 6,463,087 metric tons @19.6% Mn and 22.92% iron ore. Location from Dunn (2022).",MRDS (2005); Dunn (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10072721
Emma,46.00601,-112.54172,MT,Porphyry Cu-Mo-Au,Polymetallic sulfide S-R-V-IS,manganese,Silver Bow manganese,CM-past producer+resources,5,"Production (1934-1957): produced 20,337 tons of Zn-Pb middings from the treatment of manganese ore; also a major source of Ag.","Demonstrated resource (1982): 1,232,000 metric tons @18% Mn (222,000 metric tons Mn). Reclaimed site. Formerly largest rhodochrosite producer in Montana.",MRDS (2005); Kilgore and Thomas (1982),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10019641
Emma Bell,41.934,-123.16114,CA,Mafic magmatic,Chromite,chromium,Klamath Mountains chromite,CM resources,3,None.,"Resource (1986): 17,942,000 metric tons ore @3.4% Cr2O3.",MRDS (2005); Wetzel (1986),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10048474
Emma-Albion mine,38.10558,-111.89466,UT,Carlin-type,Antimony,antimony,Antimony district,CM-past producer+resources,5,"Production: 105,000 tons Sb.",A subeconomic Inferred resource is based on the channel samples near the old mines of about 14 million tons at an average grade of 0.75% Sb.,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10154639
Empire mine,43.89197,-113.66932,ID,Porphyry Cu-Mo-Au,Porphyry/skarn copper,zinc,Mackay stock area,CM-past producer+resources,5,"Production (1880s to 1954): 900,000 tons ore, resulting in 31,000 tons Cu, 450 tons Zn, 41,200 oz Au, and 1,300,000 oz Ag.","Total resources (2020): 33,625,100 metric tons @0.387% Cu, 0.176 % Zn, 9,905 g/ metric ton Ag, 0.332 g/metric ton Au, and 0.012% Pb.",MRDS (2005),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10089294
Empire State mines,44.26424,-75.4108,NY,Basin brine path,Zinc-lead (MVT and sedex),zinc,Rossie-Balmat-Edwards mining districts,CM-recent producer+resources,6,"Production for zinc: 23,814 metric tons in 2022; 21,546 t in 2021; 20,684 t in 2020; and 13,472 t in 2019, for a total of ~80,000 metric tons Zn.","Total resources (2020): 8,330,678 metric tons @10.434 % Zn.",Warren and others (2021),
Etta spodumene mine,43.88079,-103.41889,SD,Porphyry Sn (granite-related),Pegmatite LCT,"beryllium, lithium, niobium, tantalum, tin",Southern Black Hills pegmatites,CM-past producer,1,"Production (1898): 30 ton spodumene ore and 400 short tons ore @0.5% Sn, as well as Nb, Ta, and beryl.",Unknown.,MRDS (2005); Schwartz (1925); Norton and others (1964),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055688
Eureka,40.00192,-105.41354,CO,Porphyry Cu-Mo-Au,S-R-V tungsten,tungsten,Boulder County tungsten district,CM-past producer,1,"Production (1916-1956): 30,000 stu WO3.",Unknown.,Karl and others (2020),https://doi.org/10.5066/P97NJLI4
Eureka Plumbago-Morgan mines,38.01769,-120.37989,CA,Metamorphic,Graphite (coal or carbonaceous sed),graphite,Central and southern California graphite,CM-past producer,1,Production: 500 tons graphite shipped prior to 1867.,Unknown.,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10111236
Fairview chrome,41.79543,-123.10473,CA,Mafic magmatic,Chromite,chromium,Klamath Mountains chromite,CM-past producer+resources,5,"Production (1942-1943): 1,483 long tons chromite ore.","Resource (1986): 65,000 metric tons ore @35.6% Cr2O3.",MRDS (2005); Wetzel (1986); Wells and others (1946),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10117541
Fancy Hill,34.37792,-93.8127,AR,Basin brine path,Barite (replacement and bedded),barite,Ouachita barite deposits,CM resources,3,Unknown.,District reserve estimated to be in the millions of tons.,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10211276
Fencemaker,40.0721,-117.86016,NV,Orogenic*,Antimony,antimony,NW Nevada Orogenic Antimony,CM-past producer+resources,5,Production (1940): 2 tons @50% Sb; (2013-2014): 750 tons stibnite ore.,"Inferred reserves (2012): 34,125 tons @2.92% Sb.",MRDS (2005); Muntean and others (2020); Johnston and others (2015); First Liberty Power Company (2013),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10150527
Fifth of July Creek,64.3771,-155.5582,AK,Placer,Cassiterite,tin,Placer Au,CM-past producer,1,"Production (1922): Approximately 300 lbs Sn represents incomplete recovery of cassiterite concentrate from approximately 6,000 ft2 of bedrock.",Unknown.,ARDF-ID: RB017; Karl and others (2018); Chapman and others (1963); Warner (1985),https://doi.org/10.5066/P97JYNJL
First Broad River,35.44623,-81.63815,NC,Placer,Monazite/xenotime,REE,Piedmont fluvial placers,CM resources,3,None.,"Reserves (1954): 4,115 tons monazite.",Bellora and others (2019): Hansen and Cuppels (1954),https://doi.org/10.5066/F7FN15D1
Fluorspar King & Blue Bell,37.95303,-118.3348,NV,Climax-type,Fluorspar,fluorspar,Buena Vista district,CM-past producer+resources,5,Production (1929): 200 short tons.,"Resources (1945): 25,000 - 37,600 short tons @65% CaF2.",MRDS (2005); Nevada Bureau of Mines and Geology (2017),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10173817
Folkston deposit,30.88175,-81.98046,GA,Placer,Ilmenite/rutile/leucoxene; Monazite/xenotime; Zircon,"REE, titanium, zirconium",Lower Shoreline Placers,CM resources,3,Unknown.,"Reserve (1997): 38,000,000 metric tons @31% ilmenite-leucoxene, 1% monazite-xenotime, 7% rutile and 9% zircon.",Bellora and others (2019),https://doi.org/10.5066/F7FN15D1
Fort Cady brine deposit,34.75329,-116.41756,CA,Lacustrine evaporite,Residual brine,lithium,California lithium and potash,CM resources,3,None.,"Indicated + Inferred mineral resource (2017): 93,000,000 tonnes ore @374 ppm Li; (2018): 120,440,222 tonnes ore @340 ppm Li.",Karl and others (2019),https://doi.org/10.5066/P9ZKRWQF
Fountain Run,36.70428,-85.94306,KY,Basin brine path,Zinc-lead (MVT and sedex),zinc,South Central Kentucky and North Central Tennessee mineral district,CM resources,3,None.,Reserve (1979): 50 million short tons @4.0% Zn.,MRDS (2005); Long (1992),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10218493
Four Metals,48.94817,-119.66562,WA,Porphyry Cu-Mo-Au,S-R-V tungsten,tungsten,Oroville-Nighthawk district (Four Metals),CM-past producer,1,Production (1918-1921): 20 or more carloads of high-grade tungsten ore and concentrate; 600 tons milled in 1939.,Unknown.,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055983
Franklin Mountains Tin,31.93608,-106.48761,TX,Porphyry Sn (granite-related),Polymetallic sulfide S-R-V-IS,tin,Precambrian Franklin Mountain tin,CM-past producer,1,Production (1899-1912): 8 tons Sn.,"Ore is of high quality, and the cassiterite is easily concentrated and smelted, but veins are thin and lenticular, and reserves may be small.",Karl and others (2018),https://doi.org/10.5066/P97JYNJL
Gagaryah,61.8252,-154.4726,AK,Basin brine path,Barite (replacement and bedded),barite,Farewell Terrane,CM resources,3,None.,Reserve estimated at 2.3 million tonnes @57% Ba.,ARDF-ID: LH002; Bundtzen and Gilbert (1991),
Galena,37.06677,-94.61693,KS,Basin brine path,Zinc-lead (MVT and sedex),zinc,Tri-State district,CM-past producer,1,"District production: 498 Mst of ore, with 2.8 Mst Pb and 11.7 Mst Zn. Past minor production of Cd, Ge, and Ga as byproducts of Zn and Pb extraction.",Unknown.,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10242390
Gallinas REE deposits,34.19399,-105.73385,NM,Magmatic REE,Peralkaline syenite/granite/rhyolite/alaskite/pegmatites,"fluorspar, REE",New Mexico Tertiary alkaline rocks and REE veins,CM-past producer+resources,5,Production (1955): 5897 metric tons fluorite-bastnasite.,"Resource: Gallinas-Red Cloud area: 537,000 short tons @2.95% total REE.",MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10150005
Gap nickel mine,39.95641,-76.08297,PA,Mafic magmatic,Nickel-copper-PGE sulfide,"cobalt, nickel",State Line district/BMC (Baltimore Mafic Complex),CM-past producer+resources,5,"Production (1853-1893): In 1876, the Gap mine produced 200,000 lbs Ni (one sixth of the world's production).","Mine reserve (1979): 800,000 short tons ore @0.7% Ni.",MRDS (2005); Long (1992),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10067832
Gasquet Mountain,41.86979,-123.997,CA,Chemical weathering,Nickel-cobalt laterite,"chromium, cobalt, nickel",California-Oregon laterites,CM resources,3,None.,"Proven ore reserve (1985): 16,000,000 tons ore @2% Cr, 0.07% Co, and 0.75% Ni.",Burger and others (2018),https://doi.org/10.5066/P9V74HIU
Gay-South Forty,43.0485,-112.1119,ID,Marine chemocline,Phosphate,REE,Phosphoria Formation,Past producer+CM resources,2,Production of phosphate.,"Resource (1989): 18,000,000 metric tons @0.1% monazite.",Bellora and others (2019),https://doi.org/10.5066/F7FN15D1
Gelot Hill manganese deposit,46.95979,-68.09503,ME,Marine chemocline,Iron-manganese,manganese,Aroostook County manganese,CM resources,3,None.,"North Aroostook district resources 63,100,000 metric tons @9.54% Mn (6,110,000 metric tons of Mn). District Reserves of 1,300,000 tons Mn from Miller (1947) updated to 29,210,000 metric tons Mn in Cannon and others (2017), citing work by Kilgore and Thomas (1982) North Aroostook district and Maple Mountain-Hovey Mountain areas. A combined resource (including reserves designated in early studies) for the Aroostook County deposits is calculated here to be ~327 Mt @9.0% Mn (Slack and others, 2022).",MRDS (2005); Cannon and others (2017); Slack and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10084657
Germania,48.00824,-118.10057,WA,Porphyry Cu-Mo-Au,S-R-V tungsten,tungsten,Cedar Canyon Mining District,CM-past producer,1,"Production (1904-1941):88,354 tons ore @1.71% WO3, for a calculated production of 440 metric tons W.",Unknown.,Karl and others (2020),https://doi.org/10.5066/P97NJLI4
Gertie,43.92033,-103.58883,SD,Porphyry Sn (granite-related),Pegmatite LCT,tin,Southern Black Hills pegmatites,CM-past producer,1,Production (1906): 1.8 short tons @66.5% Sn.,Unknown.,Karl and others (2018),https://doi.org/10.5066/P97JYNJL
Giant Spar,44.24988,-114.85673,ID,Alkalic porphyry,Fluorspar,fluorspar,Yankee Fork fluorspar,CM-past producer,1,Production: a few truckloads of fluorite during WWII.,Unknown.,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10089180
Giant-Volney,44.37681,-104.04923,SD,Porphyry Sn (granite-related),Pegmatite LCT,"lithium, niobium, tantalum tin",Bear Lodge District and Broader Region,CM-past producer+resources,5,"Production (1936-1938): 21,884 lbs columbite, 767 tons lithium oxide, 3,800 lbs cassiterite, 400 lbs spodumene.","Indicated reserve (1953): 25,000 tons spodumene ore.",Karl and others (2018),https://doi.org/10.5066/P97JYNJL
Gibellini vanadium,39.20937,-116.09646,NV,Marine chemocline,Black shale,vanadium,Gibellini and Carlin Vanadium,CM resources,3,None.,"Inferred resource (2018): 14,970,000 tons @0.175% V2O5. Measured + Indicated resources (2018): 22,950,000 tons @0.286 V2O5. Total resources: 41,231,546 metric tons @0.248% V2O5.",MRDS (2005); Hanson and others (2018),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10044700
Gilman mine,39.53332,-106.377,CO,Porphyry Cu-Mo-Au,Polymetallic sulfide S-R-V-IS,zinc,Central Colorado Mineral Belt carbonate-replacement deposits,CM-past producer+resources,5,"Production: 67.6 million oz Ag (~ 1,890 tons), 400,000 oz Au (~ 11.2 tons), 96,000 tons Cu, 143,700 tons Pb, 847,000 tons Zn, and 200,000 tons of manganiferous iron ore.","Resource for Gilman district: 11.7 million tons ore @8.5% Zn, 1.2% Pb, 0.9% Cu, 230 g/t Ag, and 1.7 g/t Au. Leadville: 47.4 million tons ore @3.5% Zn, 2.9% Pb, 0.106% Cu, 190 g/t Ag, and 2.6 g/t Au.",MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10017902
Gilmore Dome,64.981,-147.367,AK,Porphyry Cu-Mo-Au,S-R-V tungsten,tungsten,Yukon-Tanana Sn-W,CM-past producer+resources,5,"Production Stepovich mine (1914-1915 and 1942-1944): 40 metric tons WO3 (calculated). Yellow Pup mine produced several tons of scheelite concentrates and stockpiles in 1942, and beween 1970s-1981. ",Unknown.,ARDF-ID FB113 and FB118; Robinson (1981); Bundtzen and others (1982); Karl and others (2020),
Gish chromite mine,45.47752,-110.20272,MT,Mafic magmatic,Chromite,chromium,Stillwater Complex,CM-past producer+resources,5,"Production (until 1943): 330,393 tonnes chromite ore from Benbow, Gish, and Mouat mines.","Resources (1986): 770,000 metric tons ore @15% Cr2O3.",Childs and Armitage (2021); Zientek (1993),
Glacier Creek,64.6954,-155.4492,AK,Placer,Cassiterite,tin,Kokrines-Hodzana Placers,CM-past producer,1,Production: approximately 150 lbs of cassiterite concentrate.,Unknown.,ARDF-ID: RB010; Karl and others (2018); Chapman and others (1963),https://doi.org/10.5066/P97JYNJL
Glacier Peak,48.1976,-120.98037,WA,Porphyry Cu-Mo-Au,S-R-V tungsten,tungsten,Red Mountain Washington,CM resources,3,None.,"Resource: 50 to 100 million tons of ore with minimum grades of 0.027% W, 0.025% Mo, 0.45% Cu, 11.32 g/metric ton Ag, and 0.68 g/metric ton Au.",MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10008495
Globe mine,36.44921,-106.04086,NM,Magmatic REE,Peralkaline syenite/granite/rhyolite/alaskite/pegmatites,niobium,New Mexico Proterozoic alkaline rocks and pegmatites,CM-past producer,1,"Production (1940s-50s): 112 lbs samarskite, few 100 lbs monazite, and 12,000 lbs Ta-Nb-REE ore.",Unknown.,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10014266
Golconda,40.94325,-117.42904,NV,Lacustrine evaporite,Residual brine,"manganese, tungsten",Golconda mining district,CM-past producer,1,"Production (1893-1945): 610 metric tons W. Production of Fe, Mn, and SiO2 in 1893.",Unknown.,Karl and others (2020); Stager and Tingley (1988),https://doi.org/10.5066/P97NJLI4
Golconda mine,35.324247,-114.12875,AZ,Porphyry Cu-Mo-Au,Polymetallic sulfide S-R-V-IS,zinc,Southwest Laramide Porphyry Belt,CM-past producer+resources,5,"Production (1901-1948): 56,226,020 lbs Zn, 2,031,719 lbs Pb, 20,752 oz Au, and 510,180 oz Ag. Location from mine shaft on Cerbat 1:24,000 scale quadrangle.","Total Inferred resources (1990): 930,000 metric tons @5.9% Zn, 1.44 g/t Au, and 50.06 g/t Ag.",MRDS (2005); Dings (1951); Irving (2003),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10046348
Gold Hill mine,40.16104,-113.8064,UT,Porphyry Cu-Mo-Au,Polymetallic sulfide S-R-V-IS,arsenic,Gold Hill Mining District,CM-past producer,1,"Production: 25,000 oz Au, 832,000 oz Ag, 1,700 short tons Cu, and ~100,000 t ore @15.2% As.",Unknown.,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10021179
Gold Spar mine,33.18177,-108.66952,NM,Magmatic REE,Fluorspar,fluorspar,Mogollon-Wilcox-Gila fluorite districts,CM-past producer,1,"Production: 70 tons (WWI), 210 tons (1929), 53 tons (1938), 400 tons (1939-1941), 259 tons (1952-1953); ore @~62.5% CaF2.",Unknown.,MRDS (2005),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10013281
Golden Horn,62.4472,-157.9224,AK,Porphyry Cu-Mo-Au,Polymetallic sulfide S-R-V-IS,"antimony, arsenic, tungsten, zinc",Kuskokwim-White Mountains Sn-W,CM-past producer+resources,5,"Production (1925-1937): 528 tons ore @0.884% Pb, 4.96 troy oz/ton Ag, 5.13 troy oz/ton Au, and 0.0618% Zn.","Resource (1992): 134,390 tonnes ore @1.2% Sb, 1.9% As, 9.9 g/t Au, 2.0% W, and 21.8 g/t Ag.",ARDF-ID: ID115; Karl and others (2020),https://doi.org/10.5066/P97NJLI4
Goodwin Gulch,65.589,-167.913,AK,Placer,Cassiterite,tin,Lost River-Kougarok Sn-W,CM-past producer,1,Production (1924-1940): between 132 and 656 short tons Sn.,Unknown.,ARDF-ID: TE004; Mulligan (1966); Karl and others (2018),https://doi.org/10.5066/P97JYNJL
Gordonsvile-Elmwood (Middle Tennessee),36.19699,-85.93436,TN,Basin brine path,Zinc-lead (MVT and sedex),"germanium, zinc",South Central Kentucky and North Central Tennessee mineral district,CM-past producer+resources,5,"Production (1975-1985): 288,777 Mt Zn recovered.",Resource (1996): 20.9 Mst ore with grades of 3.2% Zn and 0.0002% Ge. Elmwood mine (1981): 70 million short tons ore @16.5% Zn.,MRDS (2005); Long (1992),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10251007
Grace mine,40.172,-75.882,PA,IOA-IOCG,Polymetallic sulfide S-R-V,cobalt,Cornwall mines,CM-past producer+resources,5,"Production (1958-1977): ~45 million tons of ore with 43.7% Fe, 0.06% Cu, and 0.02% Co.","Resources (1973): 22,675,000 metric tons ore @0.056% Co and 0.06% Cu; (1975): In-situ reserves 50,000 metric tons ore @0.04% Co.",MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10067406
Granite Creek,41.13643,-117.27606,NV,Porphyry Cu-Mo-Au,S-R-V tungsten,tungsten,Northern Nevada tungsten skarns,CM-past producer+resources,5,"Production (1942-1957): 149,100 stu WO3.","Resource (1943): 100,000 tons @0.4% WO3.",Karl and others (2020),https://doi.org/10.5066/P97NJLI4
Graphite Creek mine,65.0393,-165.538,AK,Metamorphic,Graphite (coal or carbonaceous sed),graphite,Seward Peninsula Graphite,CM-past producer+resources,5,Production (1912-1916): 135 tons graphite.,"Measured+Indicated resources (2022): 32.54 Mt @5.25% Cg (graphitic carbon) for 1,707,340 t contained graphite. Inferred resources (2022): 254.67 Mt @5.11 % graphite for 13,004,017 t contained graphite. Cut-off grade 2% Cg for resources. Total Proven and Probable reserves (2022): 22.49 Mt @5.6% Cg (1,258,000 t contained graphite reserves). ",ARDF-ID: TE102; Goodwin and others (2022b); Karl and others (2022a),https://doi.org/10.5066/P99RK9SU
